"elapsed_seconds","peak_R_heap_mb","refit_state_space","refit_cmr_models","run_bootstraps","run","warnings","errors"
12.24,217.3,FALSE,FALSE,TRUE,1,0,0
12.23,201.2,FALSE,FALSE,TRUE,2,0,0
