table,key,field,expected,tolerance
Table 1,61856,weight_g,29.5,0.050000000001
Table 1,61856,RP1,0,0
Table 1,61856,all_MM,3,0
Table 1,61856,Rx1,0,0
Table 1,61856,R1a,0,0
Table 1,61856,R1b,0,0
Table 1,61856,R2a,0,0
Table 1,61856,Rx2b,0,0
Table 1,61856,Rx2a,0,0
Table 1,61856,R2b,0,0
Table 1,61856,R3a,1,0
Table 1,61856,R3b,0,0
Table 1,61856,HoT,7,0
Table 1,61856,Inner_Bay,0,0
Table 1,61856,Outer_Bay,29,0
Table 1,61856,all_SoBI,0,0
Table 1,61856,total_detections,40,0
Table 1,61856,release_Rx1_days,NA,0.500000000001
Table 1,61856,release_HoT_days,2.12,0.005000000001
Table 1,61856,HoT_inner_days,NA,0.500000000001
Table 1,61856,HoT_outer_days,4.91,0.005000000001
Table 1,61856,HoT_SoBI_days,NA,0.500000000001
Table 1,61857,fish_id,61857,0
Table 1,61857,fork_length_mm,147,0
Table 1,61857,weight_g,26,0.500000000001
Table 1,61857,RP1,1,0
Table 1,61857,all_MM,3,0
Table 1,61857,Rx1,0,0
Table 1,61857,R1a,0,0
Table 1,61857,R1b,3,0
Table 1,61857,R2a,0,0
Table 1,61857,Rx2b,2,0
Table 1,61857,Rx2a,0,0
Table 1,61857,R2b,1,0
Table 1,61857,R3a,0,0
Table 1,61857,R3b,0,0
Table 1,61857,HoT,230,0
Table 1,61857,Inner_Bay,11,0
Table 1,61857,Outer_Bay,0,0
Table 1,61857,all_SoBI,0,0
Table 1,61857,total_detections,251,0
Table 1,61857,release_Rx1_days,NA,0.500000000001
Table 1,61857,release_HoT_days,2.27,0.005000000001
Table 1,61857,HoT_inner_days,9.33,0.005000000001
Table 1,61857,HoT_outer_days,NA,0.500000000001
Table 1,61857,HoT_SoBI_days,NA,0.500000000001
Table 1,61858,fish_id,61858,0
Table 1,61858,fork_length_mm,135,0
Table 1,61858,weight_g,19.3,0.050000000001
Table 1,61858,RP1,0,0
Table 1,61858,all_MM,0,0
Table 1,61858,Rx1,0,0
Table 1,61858,R1a,0,0
Table 1,61858,R1b,0,0
Table 1,61858,R2a,0,0
Table 1,61858,Rx2b,0,0
Table 1,61858,Rx2a,0,0
Table 1,61858,R2b,0,0
Table 1,61858,R3a,0,0
Table 1,61858,R3b,0,0
Table 1,61858,HoT,5,0
Table 1,61858,Inner_Bay,0,0
Table 1,61858,Outer_Bay,26,0
Table 1,61858,all_SoBI,0,0
Table 1,61858,total_detections,31,0
Table 1,61858,release_Rx1_days,NA,0.500000000001
Table 1,61858,release_HoT_days,2.86,0.005000000001
Table 1,61858,HoT_inner_days,NA,0.500000000001
Table 1,61858,HoT_outer_days,5.47,0.005000000001
Table 1,61858,HoT_SoBI_days,NA,0.500000000001
Table 1,61859,fish_id,61859,0
Table 1,61859,fork_length_mm,160,0
Table 1,61859,weight_g,37.3,0.050000000001
Table 1,61859,RP1,0,0
Table 1,61859,all_MM,5,0
Table 1,61859,Rx1,0,0
Table 1,61859,R1a,0,0
