"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"p_Z1a",0.573543506729302,0.077339881044957,0.415889179426087,0.522150876669174,0.57657338487913,0.626432760674892,0.717168408675592,1.00111195995387,7700
"p_Z2a",0.470963471861988,0.242887784042179,0.0666589634343997,0.254729362730244,0.485244863842404,0.6767145277365,0.877309326728249,1.00113323616978,7100
"p_Z2b",0.781102389649685,0.102039397068417,0.551007932444039,0.716651965436304,0.792842541160758,0.857116005672476,0.944353194662371,1.0012869892358,4600
"p_Z3b",0.887931601713001,0.107366808833205,0.599072964896975,0.840895372028413,0.92058369819828,0.968156051790695,0.99705310429605,1.00154865753281,6500
"p_Z5b_Z4a",0.0807109921574496,0.0798115189896891,0.00212496411005849,0.0234124951271297,0.0568232123009069,0.112985785150977,0.291529918767446,1.00097317446547,10000
"p_Z5b_Z4ab",0.245311798667316,0.189923988598303,0.00754404270199424,0.085545213849748,0.204050991350486,0.370512680797614,0.684823877807262,1.00097507047949,10000
"p_dodge",0.36177953481525,0.217024528259726,0.0180115580430663,0.176716931802983,0.353651361795325,0.537071551036673,0.764336630562076,1.00113979898183,6900
