"Z1_a","Z1_b","Z2_a","Z2_ab","Z2_b","Z3_a","Z3_ab_dodge","Z3_ab_no_dodge","Z3_b","Z4_a","Z4_ab","Z4_b","Z5_a","Z5_b"
0,0,0,0.464733586587584,0.464733586587584,0,0.490140873640257,0.450686080468251,0.464733586587584,0.490140873640257,0.470022672784502,0.44372691241706,0.499026889310197,0.499026889310197
0,0,0,0,0,0,0,0,0,0,0.278457173819319,0.278457173819319,0,0
0.169511167255583,0.169511167255583,0.499948367897176,0.499930293959291,0.0312973963796081,0.499948367897176,0.467325614141017,0.374006460135483,0.0312973963796081,0.37487417359219,0.374874173592189,0,0,0
0.168966007748632,0.168966007748632,0.500005046605401,0.499991050561166,0.0370243098640138,0.500005046605401,0.470483329979345,0.369866131338001,0.0370243098640138,0.371110234768214,0.371110234768214,0,0,0
0,0,0,0,0,0,0,0,0,0,0.372169269840696,0.372169269840696,0.295918866777113,0.295918866777113
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.163117645737044,0.163117645737044,0.499762752062562,0.499716433512019,0.0370243098640138,0.499762752062562,0.465890666724072,0.370311517866482,0.0370243098640138,0.371552318974227,0.371552318974227,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.281071469235783,0.281071469235783,0,0
0,0,0.499418568827933,0.499418568827933,0,0.499418568827933,0.46465568346001,0.36671493200189,0,0.36671493200189,0.36671493200189,0,0,0
0.2111448293566,0.2111448293566,0.499762752062562,0.500024040610247,0.123497956149151,0.499762752062562,0.456373006238818,0.403721413239123,0.123497956149151,0.414597541698536,0.405217923247117,0.115118504258126,0.418375232671072,0.418375232671072
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.170054352996764,0.170054352996764,0.499883760176227,0.499846693495514,0.038321920397423,0.499883760176227,0.465160343017572,0.375737324874352,0.038321920397423,0.377023566217497,0.377023566217497,0,0,0
0.276546698541568,0.276546698541568,0,0,0,0,0,0,0,0,0,0,0.488705528901445,0.488705528901445
0.165931476502413,0.165931476502413,0.499874299059054,0.499846693495514,0.0328233755610851,0.499874299059054,0.466763267035355,0.372081274137814,0.0328233755610851,0.373046668021314,0.373046668021314,0,0,0
0,0,0,0,0,0,0,0,0,0,0.278749413645104,0.278749413645104,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
