quantity,mean,sd,rhat,rhat_upper_95,ess,mcse,mcse_over_sd,chain_1_mean,chain_2_mean,chain_3_mean,chain_mean_range,constant,status
Moses,0.269483660130719,0.14051278543892,1.00007065357244,1.00065419879549,8675.13967933388,0.00150974530890261,0.0107445404643188,0.266699346405229,0.271660130718954,0.270091503267974,0.00496078431372549,FALSE,PASS
Butters,0.321627450980392,0.0326886510618805,1.00000080399977,1.00005337085185,10200,3.23694452844122e-4,0.00990234966353797,0.321705882352941,0.321424836601307,0.321751633986928,3.26797385620914e-4,FALSE,PASS
Neither,0.408888888888889,0.143314769993247,1.00005888518512,1.00057169140054,8434.02403924842,0.00156072328711745,0.0108901775245566,0.41159477124183,0.406915032679739,0.408156862745098,0.00467973856209153,FALSE,PASS
Conditional_Moses,0.422078003195616,0.154327647533744,1.00007391746082,1.00063488799116,8800.51064511555,0.00164705699903013,0.0106724687724537,0.419151232151022,0.424556629378954,0.422526148056872,0.00540539722793221,FALSE,PASS
