parameter,saved_rhat,saved_ess,constant,scientific_monitor,coda_rhat,coda_ess
Z4_a[1],1.001176280100795,6200,FALSE,TRUE,1.00019116906801,10455.0861636823
Z4_a[2],1,1,TRUE,TRUE,NA,NA
Z4_a[3],1.0013459676833538,4000,FALSE,TRUE,1.00072984573396,10200.0000000002
Z4_a[4],1.0009319034888196,10000,FALSE,TRUE,0.999999234301642,10934.5433297342
Z4_a[5],1,1,TRUE,TRUE,NA,NA
Z4_a[6],1,1,TRUE,TRUE,NA,NA
Z4_a[7],1.0013985038310727,3700,FALSE,TRUE,1.00084553441551,9918.39601685804
Z4_a[8],1,1,TRUE,TRUE,NA,NA
Z4_a[9],1,1,TRUE,TRUE,NA,NA
Z4_a[10],1.0018000823402127,2100,FALSE,TRUE,1.00161439290583,10314.828957966
Z4_a[11],1.0018398755333258,2000,FALSE,TRUE,1.00128598021381,10200
Z4_a[12],1,1,TRUE,TRUE,NA,NA
Z4_a[13],1.00098950270797,10000,FALSE,TRUE,1.00009559083191,10517.4839635753
Z4_a[14],1,1,TRUE,TRUE,NA,NA
Z4_a[15],1.0015263901265952,3000,FALSE,TRUE,1.00106307560185,10200
Z4_a[16],1,1,TRUE,TRUE,NA,NA
Z4_a[17],1,1,TRUE,TRUE,NA,NA
Z4_a[18],1,1,TRUE,TRUE,NA,NA
Z4_a[19],1.0012828352271568,4600,FALSE,TRUE,1.00063277751606,10488.7670613378
Z4_a[20],1,1,TRUE,TRUE,NA,NA
Z4_a[21],1.001898486384165,1900,FALSE,TRUE,1.00172282967449,10031.0412106896
Z4_a[22],1,1,TRUE,TRUE,NA,NA
Z4_a[23],1,1,TRUE,TRUE,NA,NA
Z4_a[24],1,1,TRUE,TRUE,NA,NA
Z4_a[25],1,1,TRUE,TRUE,NA,NA
Z4_a[26],1.001033292470625,10000,FALSE,TRUE,1.0001839709321,10200.0000000004
Z4_a[27],1.001232550389996,5300,FALSE,TRUE,1.00054518214602,10397.5964149141
Z4_a[28],1,1,TRUE,TRUE,NA,NA
Z4_a[29],1.0010398241700906,10000,FALSE,TRUE,1.00013209340886,10704.8868016941
Z4_a[30],1.0008975990980336,10000,FALSE,TRUE,0.999920466572268,10699.2307331652
Z4_a[31],1.0009179266257937,10000,FALSE,TRUE,0.999950815900312,10086.0875352509
Z4_a[32],1,1,TRUE,TRUE,NA,NA
Z4_a[33],1,1,TRUE,TRUE,NA,NA
Z4_a[34],1,1,TRUE,TRUE,NA,NA
Z4_a[35],1.0010646269793773,9400,FALSE,TRUE,1.00024123416441,10271.8394039233
Z4_a[36],1.0009806804126407,10000,FALSE,TRUE,1.00008941806468,10135.743327712
Z4_a[37],1.0011596229976218,6500,FALSE,TRUE,1.00039737130154,10948.5009474749
Z4_a[38],1.0015099174146054,3000,FALSE,TRUE,1.00103959480637,10706.4931023339
Z4_a[39],1,1,TRUE,TRUE,NA,NA
Z4_a[40],1,1,TRUE,TRUE,NA,NA
Z4_a[41],1.0013714747425848,3900,FALSE,TRUE,1.0008125978785,10087.5442596374
Z4_a[42],1,1,TRUE,TRUE,NA,NA
Z4_a[43],1.0016036740499494,2700,FALSE,TRUE,1.00119982756364,10200.0000000002
Z4_a[44],1,1,TRUE,TRUE,NA,NA
Z4_a[45],1,1,TRUE,TRUE,NA,NA
Z4_ab[1],1.0012725767096784,4800,FALSE,TRUE,1.00033020880633,10688.4339326085
Z4_ab[2],1.000860964142553,10000,FALSE,TRUE,0.999884112812478,10391.4231271915
Z4_ab[3],1.0013459676833538,4000,FALSE,TRUE,1.00072984573396,10200.0000000002
Z4_ab[4],1.0009319034888196,10000,FALSE,TRUE,0.999999234301642,10934.5433297342
Z4_ab[5],1.0011515343907709,6700,FALSE,TRUE,1.0003952271612,10200.0000000002
Z4_ab[6],1,1,TRUE,TRUE,NA,NA
Z4_ab[7],1.0013985038310727,3700,FALSE,TRUE,1.00084553441551,9918.39601685804
Z4_ab[8],1,1,TRUE,TRUE,NA,NA
Z4_ab[9],1.0010113185660154,10000,FALSE,TRUE,1.00035935064213,9674.78921114563
Z4_ab[10],1.0018000823402127,2100,FALSE,TRUE,1.00161439290583,10314.828957966
Z4_ab[11],1.001541614575821,2900,FALSE,TRUE,1.00090031358946,10199.9999999996
Z4_ab[12],1,1,TRUE,TRUE,NA,NA
Z4_ab[13],1.00098950270797,10000,FALSE,TRUE,1.00009559083191,10517.4839635753
Z4_ab[14],1,1,TRUE,TRUE,NA,NA
Z4_ab[15],1.0015263901265952,3000,FALSE,TRUE,1.00106307560185,10200
Z4_ab[16],1.0010670002491229,9300,FALSE,TRUE,1.00054571877491,9938.16681718424
Z4_ab[17],1,1,TRUE,TRUE,NA,NA
Z4_ab[18],1,1,TRUE,TRUE,NA,NA
Z4_ab[19],1.0012828352271568,4600,FALSE,TRUE,1.00063277751606,10488.7670613378
Z4_ab[20],1,1,TRUE,TRUE,NA,NA
Z4_ab[21],1.001898486384165,1900,FALSE,TRUE,1.00172282967449,10031.0412106896
Z4_ab[22],1,1,TRUE,TRUE,NA,NA
Z4_ab[23],1,1,TRUE,TRUE,NA,NA
Z4_ab[24],1,1,TRUE,TRUE,NA,NA
