fish_id,location_id,first_detection_datetime,last_detection_datetime,detection_count,detected
61836,Outer_Bay,2022-06-05T12:22:04-0400,2022-06-05T12:39:55-0400,20,1
61836,all_SoBI,2022-07-02T08:16:45-0400,2022-07-02T09:34:28-0400,12,1
61837,RP1,2022-05-26T00:18:11-0400,2022-05-26T00:18:11-0400,1,1
61837,all_MM,2022-05-26T22:24:01-0400,2022-05-26T22:26:31-0400,6,1
61837,Rx1,2022-05-26T23:35:30-0400,2022-05-26T23:35:30-0400,1,1
61837,R1a,NA,NA,0,0
61837,R1b,2022-05-26T23:54:17-0400,2022-05-26T23:55:52-0400,3,1
61837,R2a,NA,NA,0,0
61837,Rx2b,2022-05-27T00:31:40-0400,2022-05-27T00:36:10-0400,4,1
61837,Rx2a,NA,NA,0,0
61837,R2b,2022-05-27T00:44:06-0400,2022-05-27T00:44:06-0400,1,1
61837,R3a,NA,NA,0,0
61837,R3b,2022-05-27T00:52:41-0400,2022-05-27T00:53:31-0400,2,1
61837,HoT,2022-05-28T15:50:58-0400,2022-05-28T15:58:08-0400,13,1
61837,Inner_Bay,2022-05-29T07:55:34-0400,2022-05-29T08:07:39-0400,9,1
61837,Outer_Bay,2022-06-01T07:54:40-0400,2022-06-01T08:00:49-0400,8,1
61837,all_SoBI,2022-07-04T17:54:58-0400,2022-07-04T17:55:54-0400,2,1
61838,RP1,2022-05-25T23:44:30-0400,2022-05-25T23:44:30-0400,1,1
61838,all_MM,2022-05-26T22:25:30-0400,2022-05-26T22:27:21-0400,7,1
61838,Rx1,2022-05-26T23:35:53-0400,2022-05-26T23:35:53-0400,1,1
61838,R1a,NA,NA,0,0
61838,R1b,2022-05-27T00:04:30-0400,2022-05-27T00:10:10-0400,8,1
61838,R2a,NA,NA,0,0
61838,Rx2b,2022-05-27T00:45:19-0400,2022-05-27T03:54:18-0400,9,1
61838,Rx2a,NA,NA,0,0
61838,R2b,NA,NA,0,0
61838,R3a,NA,NA,0,0
61838,R3b,2022-05-27T05:32:33-0400,2022-05-27T14:24:00-0400,28,1
61838,HoT,2022-05-29T03:07:49-0400,2022-05-29T03:21:20-0400,44,1
61838,Inner_Bay,NA,NA,0,0
61838,Outer_Bay,2022-06-02T19:12:28-0400,2022-06-02T19:18:18-0400,8,1
61838,all_SoBI,NA,NA,0,0
61839,RP1,NA,NA,0,0
61839,all_MM,NA,NA,0,0
61839,Rx1,NA,NA,0,0
61839,R1a,2022-05-28T21:51:54-0400,2022-05-28T21:57:26-0400,4,1
61839,R1b,NA,NA,0,0
61839,R2a,NA,NA,0,0
61839,Rx2b,NA,NA,0,0
61839,Rx2a,NA,NA,0,0
61839,R2b,NA,NA,0,0
61839,R3a,2022-05-28T22:47:50-0400,2022-05-28T22:47:50-0400,1,1
61839,R3b,NA,NA,0,0
61839,HoT,2022-05-31T22:29:27-0400,2022-06-01T04:06:43-0400,584,1
61839,Inner_Bay,2022-06-01T18:32:42-0400,2022-06-01T18:37:28-0400,5,1
61839,Outer_Bay,2022-06-05T11:19:18-0400,2022-06-05T11:29:43-0400,14,1
61839,all_SoBI,2022-07-01T14:08:43-0400,2022-07-01T14:10:03-0400,2,1
61840,RP1,NA,NA,0,0
61840,all_MM,2022-05-26T20:46:43-0400,2022-05-26T20:48:22-0400,5,1
61840,Rx1,2022-05-28T10:46:21-0400,2022-05-28T10:46:21-0400,1,1
61840,R1a,NA,NA,0,0
61840,R1b,NA,NA,0,0
61840,R2a,NA,NA,0,0
61840,Rx2b,NA,NA,0,0
61840,Rx2a,NA,NA,0,0
61840,R2b,NA,NA,0,0
61840,R3a,NA,NA,0,0
61840,R3b,NA,NA,0,0
61840,HoT,2022-05-28T16:43:22-0400,2022-05-28T16:47:23-0400,16,1
61840,Inner_Bay,2022-05-29T09:20:04-0400,2022-05-29T14:31:27-0400,36,1
61840,Outer_Bay,NA,NA,0,0
61840,all_SoBI,NA,NA,0,0
61841,RP1,2022-05-25T21:51:43-0400,2022-05-25T21:51:43-0400,1,1
61841,all_MM,2022-05-26T22:05:11-0400,2022-05-26T22:06:25-0400,4,1
61841,Rx1,2022-05-26T23:29:57-0400,2022-05-26T23:29:57-0400,1,1
61841,R1a,NA,NA,0,0
61841,R1b,2022-05-26T23:53:01-0400,2022-05-26T23:53:01-0400,1,1
61841,R2a,NA,NA,0,0
61841,Rx2b,2022-05-27T00:28:22-0400,2022-05-27T00:29:18-0400,2,1
61841,Rx2a,NA,NA,0,0
61841,R2b,2022-05-27T00:39:43-0400,2022-05-27T00:39:43-0400,1,1
61841,R3a,NA,NA,0,0
61841,R3b,2022-05-27T00:48:45-0400,2022-05-27T00:49:29-0400,2,1
61841,HoT,2022-05-30T01:08:41-0400,2022-06-03T06:07:20-0400,445,1
61841,Inner_Bay,2022-06-05T18:21:31-0400,2022-06-05T18:58:20-0400,29,1
61841,Outer_Bay,2022-06-07T23:13:05-0400,2022-06-07T23:25:36-0400,15,1
61841,all_SoBI,2022-07-03T20:35:20-0400,2022-07-04T03:42:37-0400,16,1
61842,RP1,NA,NA,0,0
61842,all_MM,NA,NA,0,0
61842,Rx1,NA,NA,0,0
61842,R1a,NA,NA,0,0
61842,R1b,NA,NA,0,0
61842,R2a,NA,NA,0,0
61842,Rx2b,NA,NA,0,0
61842,Rx2a,NA,NA,0,0
61842,R2b,NA,NA,0,0
61842,R3a,2022-05-31T20:27:42-0400,2022-05-31T20:27:42-0400,1,1
61842,R3b,NA,NA,0,0
61842,HoT,2022-05-31T23:26:52-0400,2022-06-01T06:10:29-0400,90,1
61842,Inner_Bay,2022-06-02T10:32:45-0400,2022-06-02T10:32:45-0400,1,1
61842,Outer_Bay,2022-06-07T08:28:21-0400,2022-06-07T09:05:24-0400,71,1
61842,all_SoBI,2022-07-01T14:21:05-0400,2022-07-01T14:23:54-0400,4,1
61843,RP1,NA,NA,0,0
61843,all_MM,NA,NA,0,0
61843,Rx1,NA,NA,0,0
61843,R1a,NA,NA,0,0
61843,R1b,NA,NA,0,0
61843,R2a,NA,NA,0,0
61843,Rx2b,NA,NA,0,0
61843,Rx2a,2022-05-27T23:08:44-0400,2022-05-27T23:08:44-0400,1,1
61843,R2b,NA,NA,0,0
61843,R3a,NA,NA,0,0
61843,R3b,NA,NA,0,0
61843,HoT,2022-06-03T07:08:24-0400,2022-06-03T07:13:00-0400,16,1
61843,Inner_Bay,2022-06-03T22:11:00-0400,2022-06-04T10:23:36-0400,5,1
61843,Outer_Bay,2022-06-07T08:54:57-0400,2022-06-07T09:32:23-0400,35,1
61843,all_SoBI,2022-07-04T15:30:24-0400,2022-07-04T16:12:33-0400,7,1
61844,RP1,2022-05-26T01:15:50-0400,2022-05-26T01:15:50-0400,1,1
61844,all_MM,2022-05-27T00:21:12-0400,2022-05-27T00:28:11-0400,14,1
